,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,LAT,LONG
0,AARON,Avenue,,HAWTHORNE,,
1,AARON,Place,,INDOOROOPILLY,,
2,ABARTH,Street,,CHERMSIDE,,
3,ABBEVILLE,Street,,UPPER MOUNT GRAVATT,,
4,ABBEY,Street,,WAVELL HEIGHTS,,
5,ABBEYFEALE,Street,,TINGALPA,,
6,ABBEYWOOD,Street,,TAIGUM,,
7,ABBOTSFORD,Place,,FOREST LAKE,,
8,ABBOTSFORD,Road,,ALBION,,
9,ABBOTSFORD,Road,,BOWEN HILLS,,
10,ABBOTSLEIGH,Street,,HOLLAND PARK,,
11,ABBOTT,Street,,ASCOT,,
12,ABBOTT,Street,,CAMP HILL,,
13,ABBOTT,Street,,HAMILTON,,
14,ABBOTT,Street,,NEW FARM,,
15,ABDALE,Street,,WAVELL HEIGHTS,,
16,ABEL SMITH,Crescent,,MOUNT OMMANEY,,
17,ABEL,Street,,MOOROOKA,,
18,ABELIA,Close,,CALAMVALE,,
19,ABELIA,Street,,INALA,,
20,ABERCORN,Street,,RUNCORN,,
21,ABERCROMBIE,Street,,ROCKLEA,,
22,ABERCROMBIE,Street,,TENERIFFE,,
23,ABERDARE,Street,,DARRA,,
24,ABERDEEN,Court,,THE GAP,,
25,ABERDEEN,Crescent,,KURABY,,
26,ABERDEEN,Parade,,BOONDALL,,
27,ABERDEEN,Place,,MANLY WEST,,
28,ABERDEEN,Place,,UPPER KEDRON,,
29,ABERDEEN,Terrace,,GORDON PARK,,
30,ABERFELDY,Street,,KENMORE,,
31,ABERFOYLE,Street,,KENMORE,,
32,ABERLEIGH,Road,,HERSTON,,
33,ABERY,Lane,,GEEBUNG,,
34,ABILL,Court,,ALGESTER,,
35,ABINGDON,Street,,WOOLLOONGABBA,,
36,ABINGER,Street,,MORNINGSIDE,,
37,ABLINGTON,Way,,CARINDALE,,
38,ABNEY,Street,,MOOROOKA,,
39,ABRAHAM,Street,,RED HILL,,
40,ABUKLEA,Street,,NEWMARKET,,
41,ABUKLEA,Street,,WILSTON,,
42,ABUKLEA,Street,West,NEWMARKET,,
43,ACACIA,Avenue,,CHELMER,,
44,ACACIA,Avenue,,GRACEVILLE,,
45,ACACIA,Avenue,,NORTHGATE,,
46,ACACIA,Close,,FITZGIBBON,,
47,ACACIA,Close,,HOLLAND PARK WEST,,
48,ACACIA,Court,,MOUNT CROSBY,,
49,ACACIA,Drive,,ASHGROVE,,
50,ACACIA,Place,,SUNNYBANK HILLS,,
51,ACACIA,Road,,KARAWATHA,,
52,ACACIA,Street,,EAGLE FARM,,
53,ACACIA,Street,,HEATHWOOD,,
54,ACACIA,Street,,RICHLANDS,,
55,ACANTHUS,Street,,DARRA,,
56,ACANTHUS,Street,,RICHLANDS,,
57,ACCESSION,Street,,BARDON,,
58,ACCOLADE,Place,,CARSELDINE,,
59,ACCRINGTON,Place,,CHAPEL HILL,,
60,ACER,Street,,INALA,,
61,ACFOLD,Street,,NORMAN PARK,,
62,ACHIEVEMENT,Crescent,,ACACIA RIDGE,,
63,ACHILLES,Street,,KEDRON,,
64,ACKAMA,Street,,ALGESTER,,
65,ACOMIS,Street,,MACKENZIE,,
66,ACORN,Circuit,,FOREST LAKE,,
67,ACORN,Court,,ALGESTER,,
68,ACORUS,Place,,SUNNYBANK,,
69,ACRON,Street,,MACGREGOR,,
70,ACTION,Street,,WACOL,,
71,ACTIVITY,Street,,ACACIA RIDGE,,
72,ACTON,Street,,ASHGROVE,,
73,ACWORTH,Street,,KENMORE,,
74,ADA,Street,,COOPERS PLAINS,,
75,ADA,Street,,PADDINGTON,,
76,ADA,Street,,TARINGA,,
77,ADA,Street,,TOOWONG,,
78,ADA,Street,,WILSTON,,
79,ADA,Street,,WINDSOR,,
80,ADAIR,Street,,BALD HILLS,,
81,ADAM,Street,,WYNNUM,,
82,ADAMS,Street,,DEAGON,,
83,ADAMSON,Street,,WOOLOOWIN,,
84,ADAMSON,Way,,RUNCORN,,
85,ADAVALE,Street,,BROOKFIELD,,
86,ADDISON,Avenue,,BULIMBA,,
87,ADDISON,Road,,GRACEVILLE,,
88,ADDISON,Street,,RED HILL,,
89,ADDISON,Street,,WINDSOR,,
90,ADELAIDE,Street,,BRISBANE CITY,,
91,ADELAIDE,Street,,CARINA,,
92,ADELAIDE,Street,,CLAYFIELD,,
93,ADELAIDE,Street,,WEST END,,
94,ADELAIDE,Street,East,CLAYFIELD,,
95,ADELE,Street,,KEDRON,,
96,ADELINE,Close,,DURACK,,
97,ADELINE,Lane,,NEW FARM,,
98,ADEN,Street,,ALBION,,
99,ADEN,Street,,CLAYFIELD,,
100,ADINA,Street,,NORMAN PARK,,
101,ADIOS,Close,,SUNNYBANK HILLS,,
102,ADLER,Lane,,MORNINGSIDE,,
103,ADLEY,Street,,CARINDALE,,
104,ADMINISTRATION,Road,,MURARRIE,,
105,ADNAR,Street,,WISHART,,
106,ADONIS,Street,,INALA,,
107,ADRIA,Street,,STAFFORD HEIGHTS,,
108,ADRIAN,Place,,WISHART,,
109,ADRIAN,Street,,MANLY WEST,,
110,ADSETT,Street,,TARINGA,,
111,ADVANX,Street,,KENMORE HILLS,,
112,ADVENTURER,Street,,KURABY,,
113,AEGEAN,Close,,JAMBOREE HEIGHTS,,
114,AEMILIA,Avenue,,SEVEN HILLS,,
115,AEROPLANE,Street,,CANNON HILL,,
116,AESOP,Street,,COOPERS PLAINS,,
117,AESOP,Street,,ROBERTSON,,
118,AFFLECK,Street,,ALDERLEY,,
119,AGARS,Street,,PADDINGTON,,
120,AGATE,Street,,CAMP HILL,,
121,AGATHIS,Place,,FOREST LAKE,,
122,AGATON,Street,,WISHART,,
123,AGAVE,Court,,RUNCORN,,
124,AGAY,Street,,UPPER MOUNT GRAVATT,,
125,AGINCOURT,Street,,GRANGE,,
126,AGNES,Place,,FIG TREE POCKET,,
127,AGNES,Street,,ACACIA RIDGE,,
128,AGNES,Street,,ALBION,,
129,AGNES,Street,,AUCHENFLOWER,,
130,AGNES,Street,,FORTITUDE VALLEY,,
131,AGNES,Street,,HOLLAND PARK WEST,,
132,AGNES,Street,,MORNINGSIDE,,
133,AGNES,Street,,SHORNCLIFFE,,
134,AGNES,Street,,SUNNYBANK,,
135,AGNES,Street,,WOOLLOONGABBA,,
136,AGNES,Street,,WYNNUM,,
137,AGNEW,Street,,ASPLEY,,
138,AGNEW,Street,,MORNINGSIDE,,
139,AGNEW,Street,,NORMAN PARK,,
140,AGNEW,Street,,SANDGATE,,
141,AGNEW,Street,,SEVEN HILLS,,
142,AGOSTINO,Close,,DOOLANDELLA,,
143,AGRAVAIN,Street,,CARINDALE,,
144,AIDANS,Way,,CORINDA,,
145,AILSA,Street,,ASPLEY,,
146,AINGER,Street,,SALISBURY,,
147,AINSDALE,Street,,CHERMSIDE WEST,,
148,AINSLIE,Street,,ALDERLEY,,
149,AINSWORTH,Street,,SALISBURY,,
150,AINTREE,Street,,HOLLAND PARK WEST,,
151,AIR,Street,,BALD HILLS,,
152,AIRD,Street,,SALISBURY,,
153,AIRLIE,Road,,PULLENVALE,,
154,AIRPORT,Drive,,BRISBANE AIRPORT,,
155,AIRVILLE,Street,,DURACK,,
156,AIRY,Street,,WACOL,,
157,AITCHESON,Street,,MOGGILL,,
158,AJAX,Lane,,ASHGROVE,,
159,AJI,Street,,ALGESTER,,
160,AKALA,Street,,CAMP HILL,,
161,AKAMA,Road,,DURACK,,
162,AKAROA,Avenue,,GEEBUNG,,
163,AKENSIDE,Street,,WACOL,,
164,AKONA,Place,,KARANA DOWNS,,
165,AKONNA,Street,,WYNNUM,,
166,AKORA,Street,,MACGREGOR,,
167,AKUNA,Court,,HEMMANT,,
168,AKUNA,Street,,KENMORE,,
169,ALABASTER,Place,,SUNNYBANK HILLS,,
170,ALAMINE,Street,,HOLLAND PARK,,
171,ALAN,Crescent,,EIGHT MILE PLAINS,,
172,ALANA,Court,,CHAPEL HILL,,
173,ALAND,Street,,WAVELL HEIGHTS,,
174,ALASTAIR,Street,,LOTA,,
175,ALASTAIR,Street,,MANLY,,
176,ALBA,Close,,FOREST LAKE,,
177,ALBA,Place,,BRIDGEMAN DOWNS,,
178,ALBAN,Street,,OXLEY,,
179,ALBANY CREEK,Road,,ASPLEY,,
180,ALBANY CREEK,Road,,BRIDGEMAN DOWNS,,
