Suburb,Latitude,Longitude
ALBION,-27.432809,153.044754
ALDERLEY,-27.42458,152.99893
ALGESTER,-27.61571,153.0361
ANNERLEY,-27.51392,153.03114
ANSTEAD,-27.54156,152.86231
ARCHERFIELD,-27.56714,153.01512
ASCOT,-27.42804,153.062
ASHGROVE,-27.44568,152.99198
ASPLEY,-27.36422,153.01965
AUCHENFLOWER,-27.47342,152.99614
BALD HILLS,-27.32208,153.00995
BALMORAL,-27.4562,153.06722
BANYO,-27.37473,153.07809
BARDON,-27.45801,152.98603
BELLBOWRIE,-27.56302,152.88583
BELMONT,-27.48904,153.12731
BOONDALL,-27.34798,153.07095
BOWEN HILLS,-27.4476,153.03672
BRACKEN RIDGE,-27.33108,153.02568
BRIDGEMAN DOWNS,-27.36459,152.99092
BRIGHTON,-27.29291,153.06219
BRISBANE AIRPORT,-27.38516,153.11913
BRISBANE CITY,-27.47126,153.02385
BROOKFIELD,-27.49298,152.9107
BULIMBA,-27.45136,153.05929
BULWER,-27.07889,153.36722
BURBANK,-27.5265,153.15851
CALAMVALE,-27.62049,153.04999
CAMP HILL,-27.50041,153.07697
CANNON HILL,-27.45761,153.08825
CARINA,-27.48973,153.09932
CARINA HEIGHTS,-27.50505,153.09874
CARINDALE,-27.50556,153.10188
CARSELDINE,-27.35053,153.01519
CHANDLER,-27.51593,153.15602
CHAPEL HILL,-27.49873,152.94404
CHELMER,-27.51658,152.97764
CHERMSIDE,-27.38628,153.03367
CHERMSIDE WEST,-27.3833,153.01344
CHUWAR,-27.56937,152.7934
CLAYFIELD,-27.41222,153.05898
COOPERS PLAINS,-27.56706,153.03881
COORPAROO,-27.49361,153.06103
CORINDA,-27.53936,152.9817
COWAN COWAN,-27.12833,153.36333
DARRA,-27.56561,152.95242
DEAGON,-27.32609,153.05737
DOOLANDELLA,-27.60676,152.9837
DREWVALE,-27.63919,153.05
DURACK,-27.58607,152.98131
DUTTON PARK,-27.49458,153.02382
EAGLE FARM,-27.43257,153.08803
EAST BRISBANE,-27.48345,153.04335
EIGHT MILE PLAINS,-27.57545,153.08756
ELLEN GROVE,-27.61175,152.9451
ENOGGERA,-27.42228,152.99009
ENOGGERA RESERVOIR,-27.42083,152.86434
EVERTON PARK,-27.39936,152.98642
FAIRFIELD,-27.50987,153.02341
FERNY GROVE,-27.40132,152.93643
FERNY HILLS,-27.40066,152.93792
FIG TREE POCKET,-27.52504,152.95644
FITZGIBBON,-27.3493,153.03409
FOREST LAKE,-27.61169,152.97192
FORTITUDE VALLEY,-27.45788,153.03558
GAYTHORNE,-27.41741,152.98222
GEEBUNG,-27.36894,153.0471
GORDON PARK,-27.41413,153.02909
GRACEVILLE,-27.52249,152.97646
GRANGE,-27.42548,153.01432
GREEN ISLAND,-27.423747,153.234111
GREENSLOPES,-27.50979,153.05247
GUMDALE,-27.49479,153.15258
HAMILTON,-27.4375,153.0646
HAWTHORNE,-27.46605,153.05965
HEATHWOOD,-27.63711,152.98689
HEMMANT,-27.44544,153.12552
HENDRA,-27.4194,153.07361
HERSTON,-27.44957,153.02548
HIGHGATE HILL,-27.48705,153.01634
HOLLAND PARK,-27.51778,153.07435
HOLLAND PARK WEST,-27.52258,153.06074
INALA,-27.58739,152.9716
INDOOROOPILLY,-27.49826,152.97574
JAMBOREE HEIGHTS,-27.5562,152.93157
JINDALEE,-27.53819,152.94254
KALINGA,-27.41005,153.0463
KANGAROO POINT,-27.47772,153.03571
KARANA DOWNS,-27.54719,152.82303
KARAWATHA,-27.61778,153.09343
KEDRON,-27.40328,153.0316
KELVIN GROVE,-27.44528,153.00949
KENMORE,-27.50823,152.93861
KENMORE HILLS,-27.49391,152.92627
KEPERRA,-27.41659,152.9494
KHOLO,-27.49683,152.76205
KOORINGAL,-27.35472,153.41778
KURABY,-27.60188,153.10425
LAKE MANCHESTER,-27.48979,152.7432
LARAPINTA,-27.62955,153.02126
LOTA,-27.47023,153.18354
LUTWYCHE,-27.42162,153.03399
LYTTON,-27.42904,153.14229
MACGREGOR,-27.5613,153.07262
MACKENZIE,-27.540143,153.129255
MANLY,-27.45421,153.18621
MANLY WEST,-27.45804,153.16422
MANSFIELD,-27.54127,153.10544
MCDOWALL,-27.38743,152.98731
MIDDLE PARK,-27.55464,152.92296
MILTON,-27.4681,153.00671
MITCHELTON,-27.41227,152.97716
MOGGILL,-27.56865,152.88064
MOOROOKA,-27.53321,153.02772
MORETON ISLAND,-27.16353,153.37765
MORNINGSIDE,-27.46706,153.0705
MOUNT COOT-THA,-27.467319,152.938914
MOUNT CROSBY,-27.52347,152.8328
MOUNT GRAVATT,-27.53106,153.07219
MOUNT GRAVATT EAST,-27.52675,153.08991
MOUNT OMMANEY,-27.54439,152.93179
MUD ISLAND,-27.33944,153.25166
MURARRIE,-27.45743,153.09837
NATHAN,-27.5508,153.06454
NEW FARM,-27.4659,153.04451
NEWMARKET,-27.43084,153.01048
NEWSTEAD,-27.45367,153.04445
NORMAN PARK,-27.4741,153.05592
NORTHGATE,-27.39024,153.06558
NUDGEE,-27.36476,153.09286
NUDGEE BEACH,-27.34883,153.10518
NUNDAH,-27.40196,153.06
OXLEY,-27.55336,152.97411
PADDINGTON,-27.46192,153.00671
PALLARA,-27.6164,153.0026
PARKINSON,-27.63224,153.02933
PETRIE TERRACE,-27.4636,153.0116
PINJARRA HILLS,-27.5295,152.91767
PINKENBA,-27.3906,153.13536
PORT OF BRISBANE,-27.38239,153.1745
PULLENVALE,-27.52795,152.89169
RANSOME,-27.48687,153.18282
RED HILL,-27.451963,153.003242
RICHLANDS,-27.59626,152.95515
RIVERHILLS,-27.55954,152.91371
ROBERTSON,-27.56547,153.0555
ROCHEDALE,-27.57909,153.11493
ROCKLEA,-27.54463,153.01184
RUNCORN,-27.59557,153.07278
SALISBURY,-27.54497,153.03083
SANDGATE,-27.31563,153.06619
SEVEN HILLS,-27.47905,153.07164
SEVENTEEN MILE ROCKS,-27.55042,152.9586
SHERWOOD,-27.53216,152.98107
SHORNCLIFFE,-27.3244,153.07828
SINNAMON PARK,-27.54535,152.95246
SOUTH BRISBANE,-27.47562,153.01538
SPRING HILL,-27.46257,153.02382
ST HELENA ISLAND,-27.38333,153.15
ST LUCIA,-27.5,153
STAFFORD,-27.40911,153.00698
STAFFORD HEIGHTS,-27.39429,153.01083
STRETTON,-27.615,153.06782
SUMNER,-27.56,152.93537
SUNNYBANK,-27.57903,153.06095
SUNNYBANK HILLS,-27.59869,153.05858
TAIGUM,-27.34987,153.0464
TARINGA,-27.49169,152.98151
TARRAGINDI,-27.5241,153.04557
TENERIFFE,-27.46028,153.04748
TENNYSON,-27.52493,153.00087
THE GAP,-27.44494,152.9529
